id P0_x P0_y P1_x P1_y P2_x P2_y P3_x P3_y
A01 17.46 1.82 12.21 1.80 12.18 3.97 17.46 4.00
A02 17.50 4.18 12.22 4.19 12.27 6.36 17.51 6.44
A03 17.43 6.71 12.20 6.66 12.20 8.90 17.42 8.91
A04 17.55 10.74 12.34 10.79 12.33 13.03 17.55 13.03
A05 17.59 14.92 12.37 14.95 12.35 17.20 17.59 17.16
A06 24.45 10.66 29.65 10.62 29.70 12.88 24.47 12.84
A07 24.49 6.45 29.76 6.40 29.75 8.66 24.48 8.68
A08 24.48 4.04 29.79 3.99 29.82 6.19 24.57 6.22
A09 24.58 1.67 29.79 1.57 29.81 3.80 24.51 3.83
A10 35.35 1.66 30.05 1.61 30.06 3.83 35.37 3.83
A11 35.32 4.13 30.02 4.10 30.01 6.33 35.31 6.34
A12 35.35 6.52 30.03 6.51 30.05 8.72 35.35 8.75
A13 35.35 10.56 30.04 10.60 30.06 12.84 35.35 12.87
A14 41.97 14.89 47.23 14.91 47.20 17.09 41.93 17.05
A15 41.89 12.49 47.16 12.51 47.11 14.72 41.91 14.64
A16 41.88 10.04 47.13 10.05 47.12 12.26 41.86 12.25
A17 41.79 6.47 47.06 6.49 47.07 8.73 41.80 8.71
A18 41.80 4.12 47.08 4.10 47.07 6.29 41.81 6.32
A19 41.79 1.65 47.04 1.65 47.05 3.86 41.83 3.82
A20 52.58 3.88 47.31 3.86 47.28 1.68 52.54 1.68
A21 52.60 6.28 47.39 6.31 47.37 4.04 52.61 4.06
A22 52.70 8.69 47.40 8.72 47.40 6.47 52.65 6.48
A23 52.66 12.24 47.39 12.26 47.36 10.08 52.64 10.05
A24 52.64 14.66 47.38 14.66 47.41 12.45 52.65 12.46
A25 52.70 17.05 47.42 17.06 47.44 14.89 52.73 14.89
A26 59.84 7.99 65.50 8.01 65.53 5.64 59.76 5.68
A27 67.08 -6.11 67.09 -11.51 64.88 -11.51 64.85 -6.12
A28 64.73 -6.12 64.74 -11.52 62.53 -11.52 62.51 -6.13
A29 62.35 -6.15 62.37 -11.54 60.16 -11.56 60.14 -6.15
A30 58.83 -6.14 58.82 -11.57 56.60 -11.59 56.59 -6.16
A31 56.45 -6.13 56.43 -11.56 54.22 -11.58 54.23 -6.17
A32 54.05 -6.17 54.07 -11.57 51.85 -11.59 51.86 -6.19
A33 50.53 -6.16 50.51 -11.60 48.30 -11.62 48.33 -6.21
A34 48.17 -6.17 48.14 -11.62 45.95 -11.63 45.95 -6.22
A35 45.80 -6.19 45.76 -11.63 43.58 -11.64 43.56 -6.19
A36 42.23 -6.19 42.19 -11.63 40.00 -11.63 39.99 -6.24
A37 39.87 -6.21 39.84 -11.65 37.65 -11.66 37.65 -6.23
A38 37.49 -6.21 37.45 -11.63 35.25 -11.67 35.25 -6.27
A39 31.68 -6.30 31.67 -11.66 33.93 -11.65 33.89 -6.27
A40 29.31 -6.33 29.31 -11.65 31.56 -11.65 31.52 -6.28
A41 26.94 -6.33 26.92 -11.65 29.17 -11.67 29.13 -6.30
B01 3.02 4.20 8.27 4.20 8.27 1.97 3.00 1.97
B02 3.06 6.57 8.36 6.56 8.27 4.34 3.02 4.33
B03 3.14 8.95 8.38 8.94 8.32 6.72 3.08 6.73
